Balls,Strikes,Outs,Runners,RE
0,0,0,0,0.51
0,0,0,1,0.89
0,0,0,2,1.14
0,0,0,3,1.47
0,0,0,4,1.40
0,0,0,5,1.76
0,0,0,6,1.93
0,0,0,7,2.28
0,0,1,0,0.27
0,0,1,1,0.54
0,0,1,2,0.69
0,0,1,3,0.95
0,0,1,4,0.99
0,0,1,5,1.20
0,0,1,6,1.37
0,0,1,7,1.51
0,0,2,0,0.10
0,0,2,1,0.22
0,0,2,2,0.33
0,0,2,3,0.44
0,0,2,4,0.37
0,0,2,5,0.50
0,0,2,6,0.58
0,0,2,7,0.74
0,0,3,0,0.00
0,0,3,1,0.00
0,0,3,2,0.00
0,0,3,3,0.00
0,0,3,4,0.00
0,0,3,5,0.00
0,0,3,6,0.00
0,0,3,7,0.00
0,1,0,0,0.46
0,1,0,1,0.82
0,1,0,2,1.05
0,1,0,3,1.40
0,1,0,4,1.28
0,1,0,5,1.71
0,1,0,6,1.89
0,1,0,7,2.24
0,1,1,0,0.24
0,1,1,1,0.49
0,1,1,2,0.65
0,1,1,3,0.88
0,1,1,4,0.91
0,1,1,5,1.11
0,1,1,6,1.26
0,1,1,7,1.36
0,1,2,0,0.09
0,1,2,1,0.18
0,1,2,2,0.29
0,1,2,3,0.38
0,1,2,4,0.31
0,1,2,5,0.43
0,1,2,6,0.50
0,1,2,7,0.59
0,1,3,0,0.00
0,1,3,1,0.00
0,1,3,2,0.00
0,1,3,3,0.00
0,1,3,4,0.00
0,1,3,5,0.00
0,1,3,6,0.00
0,1,3,7,0.00
0,2,0,0,0.41
0,2,0,1,0.75
0,2,0,2,0.95
0,2,0,3,1.31
0,2,0,4,1.13
0,2,0,5,1.60
0,2,0,6,1.62
0,2,0,7,2.28
0,2,1,0,0.20
0,2,1,1,0.42
0,2,1,2,0.59
0,2,1,3,0.79
0,2,1,4,0.79
0,2,1,5,1.01
0,2,1,6,1.06
0,2,1,7,1.18
0,2,2,0,0.06
0,2,2,1,0.13
0,2,2,2,0.20
0,2,2,3,0.28
0,2,2,4,0.24
0,2,2,5,0.35
0,2,2,6,0.34
0,2,2,7,0.41
0,2,3,0,0.00
0,2,3,1,0.00
0,2,3,2,0.00
0,2,3,3,0.00
0,2,3,4,0.00
0,2,3,5,0.00
0,2,3,6,0.00
0,2,3,7,0.00
0,3,0,0,0.27
0,3,0,1,0.54
0,3,0,2,0.69
0,3,0,3,0.95
0,3,0,4,0.99
0,3,0,5,1.20
0,3,0,6,1.37
0,3,0,7,1.51
0,3,1,0,0.10
0,3,1,1,0.22
0,3,1,2,0.33
0,3,1,3,0.44
0,3,1,4,0.37
0,3,1,5,0.50
0,3,1,6,0.58
0,3,1,7,0.74
0,3,2,0,0.00
0,3,2,1,0.00
0,3,2,2,0.00
0,3,2,3,0.00
0,3,2,4,0.00
0,3,2,5,0.00
0,3,2,6,0.00
0,3,2,7,0.00
0,3,3,0,0.00
0,3,3,1,0.00
0,3,3,2,0.00
0,3,3,3,0.00
0,3,3,4,0.00
0,3,3,5,0.00
0,3,3,6,0.00
0,3,3,7,0.00
1,0,0,0,0.59
1,0,0,1,0.98
1,0,0,2,1.19
1,0,0,3,1.53
1,0,0,4,1.53
1,0,0,5,1.78
1,0,0,6,2.03
1,0,0,7,2.35
1,0,1,0,0.30
1,0,1,1,0.57
1,0,1,2,0.72
1,0,1,3,1.00
1,0,1,4,1.04
1,0,1,5,1.25
1,0,1,6,1.42
1,0,1,7,1.60
1,0,2,0,0.12
1,0,2,1,0.26
1,0,2,2,0.35
1,0,2,3,0.46
1,0,2,4,0.40
1,0,2,5,0.55
1,0,2,6,0.59
1,0,2,7,0.88
1,0,3,0,0.00
1,0,3,1,0.00
1,0,3,2,0.00
1,0,3,3,0.00
1,0,3,4,0.00
1,0,3,5,0.00
1,0,3,6,0.00
1,0,3,7,0.00
1,1,0,0,0.50
1,1,0,1,0.87
1,1,0,2,1.08
1,1,0,3,1.45
1,1,0,4,1.49
1,1,0,5,1.66
1,1,0,6,1.88
1,1,0,7,2.26
1,1,1,0,0.27
1,1,1,1,0.52
1,1,1,2,0.66
1,1,1,3,0.94
1,1,1,4,0.96
1,1,1,5,1.15
1,1,1,6,1.31
1,1,1,7,1.49
1,1,2,0,0.10
1,1,2,1,0.22
1,1,2,2,0.30
1,1,2,3,0.41
1,1,2,4,0.34
1,1,2,5,0.47
1,1,2,6,0.59
1,1,2,7,0.68
1,1,3,0,0.00
1,1,3,1,0.00
1,1,3,2,0.00
1,1,3,3,0.00
1,1,3,4,0.00
1,1,3,5,0.00
1,1,3,6,0.00
1,1,3,7,0.00
1,2,0,0,0.44
1,2,0,1,0.81
1,2,0,2,0.96
1,2,0,3,1.33
1,2,0,4,1.47
1,2,0,5,1.63
1,2,0,6,1.73
1,2,0,7,2.21
1,2,1,0,0.22
1,2,1,1,0.44
1,2,1,2,0.59
1,2,1,3,0.81
1,2,1,4,0.82
1,2,1,5,1.12
1,2,1,6,1.16
1,2,1,7,1.30
1,2,2,0,0.07
1,2,2,1,0.17
1,2,2,2,0.22
1,2,2,3,0.33
1,2,2,4,0.25
1,2,2,5,0.37
1,2,2,6,0.41
1,2,2,7,0.45
1,2,3,0,0.00
1,2,3,1,0.00
1,2,3,2,0.00
1,2,3,3,0.00
1,2,3,4,0.00
1,2,3,5,0.00
1,2,3,6,0.00
1,2,3,7,0.00
1,3,0,0,0.27
1,3,0,1,0.54
1,3,0,2,0.69
1,3,0,3,0.95
1,3,0,4,0.99
1,3,0,5,1.20
1,3,0,6,1.37
1,3,0,7,1.51
1,3,1,0,0.10
1,3,1,1,0.22
1,3,1,2,0.33
1,3,1,3,0.44
1,3,1,4,0.37
1,3,1,5,0.50
1,3,1,6,0.58
1,3,1,7,0.74
1,3,2,0,0.00
1,3,2,1,0.00
1,3,2,2,0.00
1,3,2,3,0.00
1,3,2,4,0.00
1,3,2,5,0.00
1,3,2,6,0.00
