Balls,Strikes,Outs,Runners,RE
0,0,0,0,0.10
0,0,0,1,0.15
0,0,0,2,0.14
0,0,0,3,0.13
0,0,0,4,0.25
0,0,0,5,0.07
0,0,0,6,0.15
0,0,0,7,0.10
0,0,1,0,0.06
0,0,1,1,0.08
0,0,1,2,0.08
0,0,1,3,0.12
0,0,1,4,0.13
0,0,1,5,0.13
0,0,1,6,0.16
0,0,1,7,0.24
0,0,2,0,0.03
0,0,2,1,0.07
0,0,2,2,0.06
0,0,2,3,0.08
0,0,2,4,0.09
0,0,2,5,0.12
0,0,2,6,0.09
0,0,2,7,0.29
0,1,0,0,0.09
0,1,0,1,0.12
0,1,0,2,0.13
0,1,0,3,0.14
0,1,0,4,0.36
0,1,0,5,0.05
0,1,0,6,0.26
0,1,0,7,0.02
0,1,1,0,0.07
0,1,1,1,0.10
0,1,1,2,0.08
0,1,1,3,0.16
0,1,1,4,0.16
0,1,1,5,0.14
0,1,1,6,0.24
0,1,1,7,0.31
0,1,2,0,0.04
0,1,2,1,0.08
0,1,2,2,0.10
0,1,2,3,0.13
0,1,2,4,0.10
0,1,2,5,0.12
0,1,2,6,0.22
0,1,2,7,0.26
0,2,0,0,0.17
0,2,0,1,0.27
0,2,0,2,0.27
0,2,0,3,0.38
0,2,0,4,0.48
0,2,0,5,0.42
0,2,0,6,0.36
0,2,0,7,0.71
0,2,1,0,0.12
0,2,1,1,0.22
0,2,1,2,0.26
0,2,1,3,0.37
0,2,1,4,0.45
0,2,1,5,0.62
0,2,1,6,0.59
0,2,1,7,0.55
0,2,2,0,0.07
0,2,2,1,0.17
0,2,2,2,0.22
0,2,2,3,0.33
0,2,2,4,0.25
0,2,2,5,0.37
0,2,2,6,0.41
0,2,2,7,0.45
1,0,0,0,0.13
1,0,0,1,0.22
1,0,0,2,0.19
1,0,0,3,0.23
1,0,0,4,0.01
1,0,0,5,0.28
1,0,0,6,0.42
1,0,0,7,0.09
1,0,1,0,0.08
1,0,1,1,0.10
1,0,1,2,0.12
1,0,1,3,0.12
1,0,1,4,0.21
1,0,1,5,0.11
1,0,1,6,0.14
1,0,1,7,0.30
1,0,2,0,0.04
1,0,2,1,0.07
1,0,2,2,0.08
1,0,2,3,0.11
1,0,2,4,0.10
1,0,2,5,0.10
1,0,2,6,0.05
1,0,2,7,0.43
1,1,0,0,0.11
1,1,0,1,0.16
1,1,0,2,0.25
1,1,0,3,0.17
1,1,0,4,0.01
1,1,0,5,0.19
1,1,0,6,0.29
1,1,0,7,0.04
1,1,1,0,0.08
1,1,1,1,0.14
1,1,1,2,0.12
1,1,1,3,0.20
1,1,1,4,0.22
1,1,1,5,0.10
1,1,1,6,0.24
1,1,1,7,0.30
1,1,2,0,0.05
1,1,2,1,0.07
1,1,2,2,0.09
1,1,2,3,0.13
1,1,2,4,0.15
1,1,2,5,0.17
1,1,2,6,0.14
1,1,2,7,0.41
1,2,0,0,0.20
1,2,0,1,0.33
1,2,0,2,0.39
1,2,0,3,0.51
1,2,0,4,0.35
1,2,0,5,0.44
