speed,pX,pZ,sZ_top,sZ_bot,zone
94.1,0.50,1.51,3.32,1.59,9
93.8,-0.06,1.87,3.30,1.57,8
93.4,1.83,2.79,3.29,1.58,12
89.5,-0.24,3.16,3.30,1.57,2
94.3,-0.86,3.17,3.30,1.57,11
95.7,-1.04,2.55,3.57,1.67,13
94.2,1.14,2.68,3.48,1.63,12
90.1,0.18,2.57,3.48,1.63,5
85.5,-0.50,1.19,3.48,1.63,13
94.9,1.10,3.58,3.48,1.63,12
88.7,0.75,2.02,3.48,1.63,9
85.1,-0.14,3.18,3.55,1.79,2
93.6,-0.99,1.65,3.59,1.73,13
85.1,-0.43,2.29,3.64,1.79,7
90.4,2.28,2.82,3.34,1.67,12
80.6,-1.27,0.33,3.31,1.58,13
90.9,0.49,1.65,3.38,1.62,9
85.6,-0.77,0.65,3.54,1.65,13
92.9,-0.62,2.34,3.52,1.67,4
92.8,1.16,3.52,3.48,1.54,12
88.0,-1.18,-0.15,3.60,1.67,13
89.0,-1.44,1.95,3.48,1.54,13
94.2,-0.10,3.05,3.56,1.66,2
94.0,0.65,2.77,3.48,1.63,6
93.4,-0.62,2.95,3.46,1.66,1
77.5,0.54,3.50,3.68,1.92,3
82.0,0.14,1.73,3.67,1.77,8
93.1,2.33,3.94,3.66,1.80,12
80.8,0.31,2.14,3.53,1.69,9
82.0,1.10,2.15,3.53,1.69,14
94.8,0.11,4.04,3.56,1.77,12
81.6,-0.16,1.16,3.53,1.74,13
78.1,0.43,2.00,3.40,1.56,9
94.6,-0.01,3.64,3.37,1.56,11
94.5,-0.64,3.88,3.40,1.54,11
77.1,-1.20,1.61,3.32,1.51,13
86.8,-1.98,2.74,3.37,1.56,11
78.0,-0.38,1.35,3.31,1.56,13
81.9,1.23,2.74,3.34,1.56,12
81.5,0.34,1.34,3.31,1.56,14
94.2,0.24,2.59,3.31,1.56,5
82.8,0.75,1.42,3.31,1.56,14
74.6,-0.43,2.64,3.42,1.65,4
93.4,0.16,3.54,3.47,1.66,2
74.2,0.73,-0.32,3.46,1.66,14
94.3,1.22,3.23,3.47,1.66,12
88.7,0.84,2.23,3.47,1.66,14
84.0,0.01,0.97,3.47,1.66,14
94.6,-0.41,3.60,3.47,1.66,11
75.3,-0.23,2.33,3.47,1.66,5
88.9,0.10,3.79,3.47,1.66,12
85.1,-0.63,1.11,3.47,1.66,13
93.7,0.49,2.00,3.22,1.53,9
94.5,-1.46,2.74,3.19,1.50,11
95.1,0.95,2.44,3.13,1.49,12
85.0,0.08,1.09,3.13,1.49,14
85.4,0.93,1.73,3.51,1.68,14
94.4,-0.14,1.30,3.58,1.69,13
84.8,0.60,0.78,3.46,1.69,14
94.5,0.45,1.53,3.30,1.68,14
94.0,0.38,2.36,3.34,1.57,6
94.8,0.43,3.17,3.34,1.57,3
94.4,-0.94,3.74,3.38,1.59,11
84.1,-0.82,1.11,3.34,1.58,13
84.8,-0.38,1.53,3.34,1.57,7
87.2,-0.98,0.99,3.11,1.47,13
91.4,0.49,0.32,3.05,1.46,14
92.7,0.13,2.53,3.11,1.46,5
86.8,-1.21,1.80,3.11,1.50,13
94.0,-0.08,1.49,3.08,1.46,8
94.9,-0.73,0.79,3.04,1.46,13
88.4,-1.03,2.89,3.25,1.48,11
93.2,0.81,2.46,3.26,1.48,6
94.4,0.62,3.34,3.30,1.58,3
94.2,0.10,1.36,3.26,1.48,14
77.1,-1.06,1.78,3.59,1.77,13
81.8,-0.65,2.78,3.41,1.64,4
81.0,2.15,3.81,3.40,1.66,12
88.5,-0.43,2.54,3.38,1.62,4
85.5,-1.17,2.89,3.41,1.55,11
84.9,-0.47,2.25,3.48,1.54,4
94.1,0.84,2.75,3.48,1.54,12
94.2,1.47,4.01,3.48,1.54,12
86.8,-0.34,2.05,3.48,1.63,7
94.0,0.61,3.29,3.48,1.63,3
81.9,0.32,4.43,3.48,1.63,12
92.7,-1.07,2.68,3.25,1.57,11
93.0,-0.14,2.31,3.17,1.54,5
92.4,-0.67,3.07,3.38,1.57,1
75.1,0.63,1.58,3.22,1.47,9
94.3,-0.01,3.70,3.35,1.50,11
75.5,-1.11,1.19,3.24,1.48,13
94.3,-1.49,3.13,3.37,1.56,11
93.9,-0.14,2.41,3.22,1.47,5
83.8,0.05,1.91,3.22,1.47,8
84.9,-0.32,0.58,3.30,1.57,13
94.7,0.51,3.71,3.30,1.57,12
87.5,0.40,2.49,3.30,1.57,6
95.1,-0.68,2.99,3.30,1.57,1
75.9,-0.57,3.08,3.71,1.79,4
89.1,-1.14,2.44,3.68,1.81,13
80.3,0.61,1.17,3.53,1.69,14
80.9,0.14,0.15,3.52,1.69,14
82.2,2.20,3.48,3.56,1.70,12
88.5,-0.19,2.17,3.53,1.69,8
88.1,0.07,3.82,3.48,1.72,12
87.7,0.17,1.49,3.40,1.61,14
92.7,0.23,2.14,3.48,1.59,8
93.6,1.01,3.56,3.49,1.73,12
82.2,1.31,2.24,3.34,1.58,14
91.8,0.17,2.10,3.31,1.56,8
81.8,-0.82,0.95,3.39,1.62,13
91.9,0.23,3.72,3.40,1.69,12
93.7,-0.44,1.41,3.20,1.69,13
93.3,0.62,2.43,3.08,1.49,6
80.1,0.56,2.52,3.11,1.46,6
83.2,0.77,1.17,3.13,1.46,14
88.4,-0.05,3.04,3.11,1.46,2
86.6,-1.07,1.25,3.26,1.48,13
88.5,0.01,3.47,3.31,1.60,12
94.7,0.39,2.33,3.26,1.48,6
86.3,-0.59,1.79,3.26,1.48,7
88.0,-0.58,1.86,3.26,1.48,7
78.1,-0.78,1.23,3.69,1.82,13
92.8,0.50,2.39,3.59,1.77,6
82.2,-0.10,0.16,3.69,1.85,13
81.9,0.38,1.42,3.59,1.77,14
94.0,0.78,3.21,3.59,1.77,3
76.6,-0.29,2.00,3.34,1.61,7
81.8,-0.98,2.33,3.42,1.62,13
94.0,-0.28,3.54,3.38,1.62,11
80.4,-1.04,1.24,3.37,1.61,13
93.2,1.06,3.63,3.37,1.62,12
80.8,-1.40,2.99,3.52,1.55,11
96.0,0.23,-0.11,3.58,1.56,14
81.5,0.81,1.64,3.48,1.63,9
96.2,0.34,1.22,3.54,1.64,14
82.8,1.10,-0.53,3.49,1.64,14
96.2,-0.57,1.97,3.49,1.60,7
82.2,0.88,0.85,3.48,1.63,14
94.0,-0.87,2.95,3.45,1.64,11
94.6,0.74,3.33,3.48,1.63,3
86.6,-0.54,1.64,3.48,1.63,7
86.4,1.40,0.64,3.50,1.64,14
77.8,0.38,0.36,3.48,1.63,14
93.9,-0.62,2.75,3.85,1.86,4
85.9,0.94,0.98,3.63,1.79,14
94.8,-1.30,3.27,3.75,1.79,11
93.9,-0.38,2.79,3.63,1.79,4
86.1,0.99,0.57,3.64,1.79,14
76.4,-0.75,2.49,3.63,1.79,4
94.8,1.13,2.19,3.62,1.66,14
84.6,-0.63,1.65,3.47,1.66,7
77.0,-0.72,2.60,3.47,1.66,4
95.1,-0.32,3.10,3.47,1.66,1
95.4,0.28,1.70,3.68,1.93,14
95.6,-0.29,2.91,3.53,1.69,4
90.0,0.76,1.28,3.58,1.70,14
97.1,0.79,3.38,3.65,1.89,3
96.7,0.59,2.56,3.53,1.69,6
91.0,-0.45,2.96,3.53,1.69,1
90.6,1.53,1.27,3.62,1.77,14
90.0,0.93,2.62,3.53,1.69,12
90.7,0.70,1.03,3.53,1.69,14
81.5,-0.02,3.83,3.39,1.59,11
96.8,1.31,1.76,3.45,1.59,14
