balls,strikes,outs,is_first_base,is_second_base,is_third_base,total_runs,count,average_runs,0 runs,1 runs,2 runs,3 runs,4 runs,5 runs,6 runs,7 runs,8 runs,9 runs,10 runs,11 runs,12 runs,13 runs
0,0,0,False,False,False,19942,40623,0.49090416758978905,29763,5772,2810,1286,572,231,119,45,12,10,2,0,0,0
0,0,0,False,False,True,366,264,1.3863636363636365,52,135,38,18,10,7,2,2,0,0,0,0,0,0
0,0,0,False,True,False,2359,2171,1.0865960386918472,851,750,309,147,60,29,14,7,4,0,0,0,0,0
0,0,0,False,True,True,963,470,2.048936170212766,66,118,147,69,39,16,6,5,1,2,0,1,0,0
0,0,0,True,False,False,8552,9592,0.8915763135946623,5645,1477,1288,636,316,131,58,23,6,9,2,0,0,0
0,0,0,True,False,True,1455,764,1.9044502617801047,92,318,140,107,51,32,11,6,1,4,2,0,0,0
0,0,0,True,True,False,3446,2316,1.487910189982729,888,494,364,279,166,73,27,13,8,3,0,0,0,0
0,0,0,True,True,True,1359,585,2.3230769230769233,71,166,117,90,77,32,20,8,0,2,0,0,0,1
0,0,1,False,False,False,7891,29687,0.26580658200559165,24959,2833,1131,459,176,77,36,14,2,0,0,0,0,0
0,0,1,False,False,True,1096,1139,0.9622475856014048,392,540,118,59,17,7,3,2,1,0,0,0,0,0
0,0,1,False,True,False,2558,3711,0.6893020749124226,2224,885,331,153,68,29,14,5,2,0,0,0,0,0
0,0,1,False,True,True,1517,1042,1.4558541266794627,301,264,305,95,45,19,9,3,1,0,0,0,0,0
0,0,1,True,False,False,6344,11920,0.5322147651006711,8743,1283,1118,469,189,68,31,16,3,0,0,0,0,0
0,0,1,True,False,True,2175,1778,1.2232845894263218,603,676,206,159,86,32,9,5,1,1,0,0,0,0
0,0,1,True,True,False,3720,4002,0.9295352323838081,2357,611,404,378,158,53,23,12,6,0,0,0,0,0
0,0,1,True,True,True,2051,1273,1.6111547525530243,411,353,181,115,126,50,26,7,4,0,0,0,0,0
0,0,2,False,False,False,2335,23638,0.09878162281072848,22030,1118,331,103,39,13,3,1,0,0,0,0,0,0
0,0,2,False,False,True,719,2018,0.3562933597621407,1513,359,100,33,7,4,1,1,0,0,0,0,0,0
0,0,2,False,True,False,1714,4935,0.34731509625126644,3826,720,244,97,31,12,4,1,0,0,0,0,0,0
0,0,2,False,True,True,736,1203,0.6118038237738986,868,70,178,53,22,9,3,0,0,0,0,0,0,0
0,0,2,True,False,False,2804,12230,0.2292722812755519,10678,710,566,180,69,18,7,2,0,0,0,0,0,0
0,0,2,True,False,True,1268,2481,0.5110842402257154,1788,362,167,111,35,12,3,3,0,0,0,0,0,0
0,0,2,True,True,False,2191,4919,0.4454157349054686,3826,509,231,237,85,19,10,2,0,0,0,0,0,0
0,0,2,True,True,True,1361,1656,0.8218599033816425,1093,167,175,92,95,21,9,3,1,0,0,0,0,0
0,1,0,False,False,False,9821,21364,0.4596985583224115,15982,2858,1410,644,287,93,56,21,7,5,0,0,0,0
0,1,0,False,False,True,174,137,1.27007299270073,29,75,17,7,3,5,0,1,0,0,0,0,0,0
0,1,0,False,True,False,1198,1090,1.0990825688073393,444,353,155,71,35,17,10,3,2,0,0,0,0,0
0,1,0,False,True,True,487,243,2.0041152263374484,42,56,75,37,16,7,6,1,1,1,0,1,0,0
0,1,0,True,False,False,3842,4629,0.8299848779434003,2843,671,579,301,135,61,22,10,2,3,2,0,0,0
0,1,0,True,False,True,646,352,1.8352272727272727,37,167,53,52,21,14,2,2,0,3,1,0,0,0
0,1,0,True,True,False,1633,1153,1.4163052905464006,476,226,186,127,82,33,9,7,5,2,0,0,0,0
0,1,0,True,True,True,659,304,2.1677631578947367,41,92,61,43,43,12,7,4,0,0,0,0,0,0
0,1,1,False,False,False,3625,15551,0.23310398045141792,13328,1349,538,215,73,31,12,4,1,0,0,0,0,0
0,1,1,False,False,True,548,597,0.9179229480737019,229,268,51,32,10,4,0,2,1,0,0,0,0,0
0,1,1,False,True,False,1198,1857,0.6451265481960151,1135,446,164,63,27,10,8,3,1,0,0,0,0,0
0,1,1,False,True,True,659,490,1.3448979591836734,165,115,140,41,15,7,4,2,1,0,0,0,0,0
0,1,1,True,False,False,2891,5864,0.4930081855388813,4406,593,517,213,87,23,14,10,1,0,0,0,0,0
0,1,1,True,False,True,912,812,1.1231527093596059,296,316,84,66,31,12,5,1,0,1,0,0,0,0
0,1,1,True,True,False,1702,1993,0.8539889613647768,1225,294,194,167,74,21,10,6,2,0,0,0,0,0
0,1,1,True,True,True,985,627,1.5709728867623605,206,178,90,51,61,22,15,2,2,0,0,0,0,0
0,1,2,False,False,False,976,12212,0.0799213887979037,11526,486,139,39,17,4,0,1,0,0,0,0,0,0
0,1,2,False,False,True,301,988,0.30465587044534415,770,165,34,11,5,3,0,0,0,0,0,0,0,0
0,1,2,False,True,False,781,2521,0.3097976993256644,2010,335,115,36,17,8,0,0,0,0,0,0,0,0
0,1,2,False,True,True,300,612,0.49019607843137253,476,31,67,24,9,3,2,0,0,0,0,0,0,0
0,1,2,True,False,False,1146,5928,0.19331983805668015,5288,300,227,74,29,6,4,0,0,0,0,0,0,0
0,1,2,True,False,True,548,1184,0.46283783783783783,879,169,66,43,21,4,0,2,0,0,0,0,0,0
0,1,2,True,True,False,838,2411,0.34757362090418914,1979,210,86,96,34,4,2,0,0,0,0,0,0,0
0,1,2,True,True,True,549,811,0.6769420468557337,582,63,77,37,42,7,3,0,0,0,0,0,0,0
0,2,0,False,False,False,4469,10861,0.41147224012521866,8382,1362,614,293,128,39,19,17,3,4,0,0,0,0
0,2,0,False,False,True,110,78,1.4102564102564104,14,44,9,4,1,5,0,1,0,0,0,0,0,0
0,2,0,False,True,False,501,537,0.9329608938547486,253,158,77,24,14,7,2,2,0,0,0,0,0,0
0,2,0,False,True,True,232,124,1.8709677419354838,22,29,36,26,8,2,0,0,0,0,0,1,0,0
0,2,0,True,False,False,1859,2466,0.7538523925385239,1580,342,284,156,66,24,6,4,3,1,0,0,0,0
0,2,0,True,False,True,344,202,1.702970297029703,28,92,31,31,10,5,3,2,0,0,0,0,0,0
0,2,0,True,True,False,764,583,1.3104631217838765,264,109,84,58,45,15,1,4,3,0,0,0,0,0
0,2,0,True,True,True,314,161,1.950310559006211,34,49,24,26,17,6,1,3,0,0,0,0,0,0
0,2,1,False,False,False,1648,8135,0.20258143822987093,7145,591,241,97,32,19,9,1,0,0,0,0,0,0
0,2,1,False,False,True,282,337,0.8367952522255193,147,138,30,11,7,3,0,0,1,0,0,0,0,0
0,2,1,False,True,False,541,1001,0.5404595404595405,657,216,81,30,13,3,1,0,0,0,0,0,0,0
0,2,1,False,True,True,318,262,1.213740458015267,102,51,76,22,8,1,2,0,0,0,0,0,0,0
0,2,1,True,False,False,1318,3158,0.41735275490816975,2455,311,243,99,33,12,4,0,1,0,0,0,0,0
0,2,1,True,False,True,455,434,1.0483870967741935,187,134,58,33,9,8,5,0,0,0,0,0,0,0
0,2,1,True,True,False,744,1063,0.6999059266227657,717,135,89,78,33,5,3,2,1,0,0,0,0,0
0,2,1,True,True,True,511,338,1.5118343195266273,125,86,40,35,29,16,6,0,1,0,0,0,0,0
0,2,2,False,False,False,362,6294,0.057515093740069904,6031,196,44,15,7,1,0,0,0,0,0,0,0,0
0,2,2,False,False,True,113,540,0.20925925925925926,443,85,9,2,1,0,0,0,0,0,0,0,0,0
0,2,2,False,True,False,294,1355,0.21697416974169742,1160,136,34,14,7,4,0,0,0,0,0,0,0,0
0,2,2,False,True,True,122,352,0.3465909090909091,294,14,28,13,2,1,0,0,0,0,0,0,0,0
0,2,2,True,False,False,481,3131,0.15362503992334717,2863,127,92,32,13,2,2,0,0,0,0,0,0,0
0,2,2,True,False,True,199,572,0.3479020979020979,462,60,26,16,5,1,0,2,0,0,0,0,0,0
0,2,2,True,True,False,334,1299,0.2571208622016936,1124,85,37,37,16,0,0,0,0,0,0,0,0,0
0,2,2,True,True,True,243,427,0.5690866510538641,324,31,33,16,19,2,2,0,0,0,0,0,0,0
1,0,0,False,False,False,7615,14733,0.5168668974411186,10628,2147,1083,489,210,105,45,17,2,5,2,0,0,0
1,0,0,False,False,True,145,103,1.4077669902912622,20,50,17,8,4,3,1,0,0,0,0,0,0,0
1,0,0,False,True,False,1037,907,1.1433296582138919,330,322,140,66,27,11,5,4,2,0,0,0,0,0
1,0,0,False,True,True,390,180,2.1666666666666665,22,44,56,24,18,11,2,2,0,1,0,0,0,0
1,0,0,True,False,False,3303,3450,0.957391304347826,1942,563,485,239,130,48,27,7,4,4,0,0,0,0
1,0,0,True,False,True,537,282,1.9042553191489362,44,104,53,36,25,9,6,3,1,1,0,0,0,0
1,0,0,True,True,False,1246,804,1.5497512437810945,281,188,123,110,59,26,11,4,1,0,0,0,0,0
1,0,0,True,True,True,492,202,2.4356435643564356,24,54,41,31,23,13,10,4,0,2,0,0,0,0
1,0,1,False,False,False,3302,11026,0.2994739706149102,9109,1106,477,192,77,40,18,6,1,0,0,0,0,0
1,0,1,False,False,True,447,460,0.9717391304347827,152,221,53,23,6,3,2,0,0,0,0,0,0,0
1,0,1,False,True,False,1140,1616,0.7054455445544554,969,371,144,78,33,15,3,2,1,0,0,0,0,0
1,0,1,False,True,True,705,453,1.5562913907284768,122,124,117,40,32,12,4,1,1,0,0,0,0,0
1,0,1,True,False,False,2410,4227,0.5701443103856163,3052,451,415,181,81,29,11,5,2,0,0,0,0,0
1,0,1,True,False,True,841,642,1.309968847352025,207,238,78,59,41,13,2,3,1,0,0,0,0,0
1,0,1,True,True,False,1455,1490,0.9765100671140939,852,234,155,148,60,25,11,4,1,0,0,0,0,0
1,0,1,True,True,True,779,475,1.64,155,126,65,46,49,22,7,3,2,0,0,0,0,0
1,0,2,False,False,False,1073,8932,0.12012987012987013,8211,490,149,54,19,7,2,0,0,0,0,0,0,0
1,0,2,False,False,True,354,873,0.4054982817869416,634,158,59,17,1,2,1,1,0,0,0,0,0,0
1,0,2,False,True,False,774,2077,0.3726528647087145,1595,302,106,52,12,5,4,1,0,0,0,0,0,0
1,0,2,False,True,True,405,552,0.7336956521739131,370,39,91,33,12,5,2,0,0,0,0,0,0,0
1,0,2,True,False,False,1090,4407,0.24733378715679602,3819,255,218,79,25,6,3,2,0,0,0,0,0,0
1,0,2,True,False,True,467,920,0.5076086956521739,667,129,67,38,10,5,3,1,0,0,0,0,0,0
1,0,2,True,True,False,945,1867,0.5061596143545796,1411,201,102,95,42,10,5,1,0,0,0,0,0,0
1,0,2,True,True,True,585,630,0.9285714285714286,383,92,59,41,34,13,5,3,0,0,0,0,0,0
1,1,0,False,False,False,7774,16306,0.47675702195510855,12080,2197,1151,514,209,85,43,15,5,5,1,0,0,0
1,1,0,False,False,True,171,120,1.425,21,59,22,10,4,2,2,0,0,0,0,0,0,0
1,1,0,False,True,False,1074,952,1.1281512605042017,359,313,154,80,27,13,3,2,1,0,0,0,0,0
1,1,0,False,True,True,410,198,2.0707070707070705,33,44,61,25,19,9,4,1,1,1,0,0,0,0
1,1,0,True,False,False,2983,3360,0.887797619047619,1995,505,451,215,110,39,28,12,2,2,1,0,0,0
1,1,0,True,False,True,460,253,1.8181818181818181,35,110,42,29,22,8,3,1,1,2,0,0,0,0
1,1,0,True,True,False,1188,830,1.4313253012048193,339,169,124,99,60,24,5,4,3,2,0,0,0,0
1,1,0,True,True,True,461,200,2.305,20,57,44,32,29,9,6,2,0,1,0,0,0,0
1,1,1,False,False,False,2993,11897,0.2515760275699756,10077,1104,439,163,73,24,10,6,1,0,0,0,0,0
1,1,1,False,False,True,424,486,0.8724279835390947,188,225,43,18,6,3,1,2,0,0,0,0,0,0
1,1,1,False,True,False,1066,1627,0.6551936078672403,1029,347,134,64,27,12,9,3,2,0,0,0,0,0
1,1,1,False,True,True,575,422,1.3625592417061612,145,105,104,26,33,5,2,1,1,0,0,0,0,0
1,1,1,True,False,False,2164,4123,0.5248605384428814,3073,398,380,153,77,22,11,9,0,0,0,0,0,0
1,1,1,True,False,True,719,595,1.2084033613445377,212,216,64,59,29,10,4,0,1,0,0,0,0,0
1,1,1,True,True,False,1251,1458,0.8580246913580247,894,217,146,115,53,19,10,2,2,0,0,0,0,0
